empl_id,id,name
4023,43.647,Банк
3762,42.600,"Стройматериалы, сборные конструкции для ремонта и строительства (производство, монтаж, сервис, ремонт)"
3762,42.599,"Стройматериалы, сборные конструкции для ремонта и строительства (продвижение, оптовая торговля)"
3762,34.418,"Бетон, кирпич, стекло и прочие силикаты (производство)"
7643,7.540,Разработка программного обеспечения
2661894,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
12849,42.604,"Табак  (продвижение, оптовая торговля)"
12849,42.603,Табак  (производство)
2733062,7.540,Разработка программного обеспечения
2733062,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
6799,41.526,"Несетевая розница, мелкий опт"
6799,42.604,"Табак  (продвижение, оптовая торговля)"
6799,42.603,Табак  (производство)
2725079,9.401,Оптоволоконная связь
2209062,7.540,Разработка программного обеспечения
2209062,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
3127,7.540,Разработка программного обеспечения
3127,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
3127,9.400,Фиксированная связь
3127,9.399,Мобильная связь
730764,44.393,Консалтинговые услуги
730764,44.398,Юридическое обслуживание
730764,43.642,"Услуги по ведению бухгалтерского и налогового учета, расчет заработной платы"
730764,43.641,"Аудит, управленческий учет, финансово-юридический консалтинг"
2467559,7.540,Разработка программного обеспечения
3388,43.647,Банк
105718,43.650,"Финансово-кредитное посредничество (биржа, брокерская деятельность, выпуск и обслуживание карт, оценка рисков, обменные пункты, агентства по кредитованию, инкассация, ломбард, платежные системы)"
2102,43.647,Банк
906557,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
9821,42.590,"Бытовая химия, парфюмерия, косметика  (продвижение, оптовая торговля)"
9821,42.589,"Бытовая химия, парфюмерия, косметика  (производство)"
1641540,43.647,Банк
1641540,7.540,Разработка программного обеспечения
638130,7.540,Разработка программного обеспечения
3945,7.540,Разработка программного обеспечения
599,43.647,Банк
2558781,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
1829949,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
2592107,41.525,Интернет-магазин
2592107,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
2592107,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
790022,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
790022,7.540,Разработка программного обеспечения
790022,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
790022,11.459,"Маркетинговые, рекламные, BTL, дизайнерские, Event-, PR-агентства, организация выставок"
3782,43.647,Банк
5135,7.540,Разработка программного обеспечения
3095,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
1776,44.393,Консалтинговые услуги
2651877,7.540,Разработка программного обеспечения
2651877,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
1038826,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
4496,43.647,Банк
